Time,HeatMWh,Electricity,ProductionCost,FuelConsumption,Co2Emissions
08.09.2025 00:00,0,0,0,0,0,
08.09.2025 01:00,0,0,0,0,0,
08.09.2025 02:00,0,0,0,0,0,
08.09.2025 03:00,0,0,0,0,0,
08.09.2025 04:00,0,0,0,0,0,
08.09.2025 05:00,0,0,0,0,0,
08.09.2025 06:00,0,0,0,0,0,
08.09.2025 07:00,0,0,0,0,0,
08.09.2025 08:00,0,0,0,0,0,
08.09.2025 09:00,0,0,0,0,0,
08.09.2025 10:00,0,0,0,0,0,
08.09.2025 11:00,0,0,0,0,0,
08.09.2025 12:00,0,0,0,0,0,
08.09.2025 13:00,0,0,0,0,0,
08.09.2025 14:00,0,0,0,0,0,
08.09.2025 15:00,0,0,0,0,0,
08.09.2025 16:00,0,0,0,0,0,
08.09.2025 17:00,0,0,0,0,0,
08.09.2025 18:00,0,0,0,0,0,
08.09.2025 19:00,0,0,0,0,0,
08.09.2025 20:00,0,0,0,0,0,
08.09.2025 21:00,0,0,0,0,0,
08.09.2025 22:00,0,0,0,0,0,
08.09.2025 23:00,0,0,0,0,0,
09.09.2025 00:00,0,0,0,0,0,
09.09.2025 01:00,0,0,0,0,0,
09.09.2025 02:00,0,0,0,0,0,
09.09.2025 03:00,0,0,0,0,0,
09.09.2025 04:00,0,0,0,0,0,
09.09.2025 05:00,0,0,0,0,0,
09.09.2025 06:00,0,0,0,0,0,
09.09.2025 07:00,0,0,0,0,0,
09.09.2025 08:00,0,0,0,0,0,
09.09.2025 09:00,0,0,0,0,0,
09.09.2025 10:00,0,0,0,0,0,
09.09.2025 11:00,0,0,0,0,0,
09.09.2025 12:00,0,0,0,0,0,
09.09.2025 13:00,0,0,0,0,0,
09.09.2025 14:00,0,0,0,0,0,
09.09.2025 15:00,0,0,0,0,0,
09.09.2025 16:00,0,0,0,0,0,
09.09.2025 17:00,0,0,0,0,0,
09.09.2025 18:00,0,0,0,0,0,
09.09.2025 19:00,0,0,0,0,0,
09.09.2025 20:00,0,0,0,0,0,
09.09.2025 21:00,0,0,0,0,0,
09.09.2025 22:00,0,0,0,0,0,
09.09.2025 23:00,0,0,0,0,0,
10.09.2025 00:00,0,0,0,0,0,
10.09.2025 01:00,0,0,0,0,0,
10.09.2025 02:00,0,0,0,0,0,
10.09.2025 03:00,0,0,0,0,0,
10.09.2025 04:00,0,0,0,0,0,
10.09.2025 05:00,0,0,0,0,0,
10.09.2025 06:00,0,0,0,0,0,
10.09.2025 07:00,0,0,0,0,0,
10.09.2025 08:00,0,0,0,0,0,
10.09.2025 09:00,0,0,0,0,0,
10.09.2025 10:00,0,0,0,0,0,
10.09.2025 11:00,0,0,0,0,0,
10.09.2025 12:00,0,0,0,0,0,
10.09.2025 13:00,0,0,0,0,0,
10.09.2025 14:00,0,0,0,0,0,
10.09.2025 15:00,0,0,0,0,0,
10.09.2025 16:00,0,0,0,0,0,
10.09.2025 17:00,0,0,0,0,0,
10.09.2025 18:00,0,0,0,0,0,
10.09.2025 19:00,0,0,0,0,0,
10.09.2025 20:00,0,0,0,0,0,
10.09.2025 21:00,0,0,0,0,0,
10.09.2025 22:00,0,0,0,0,0,
10.09.2025 23:00,0,0,0,0,0,
11.09.2025 00:00,0,0,0,0,0,
11.09.2025 01:00,0,0,0,0,0,
11.09.2025 02:00,0,0,0,0,0,
11.09.2025 03:00,0,0,0,0,0,
11.09.2025 04:00,0,0,0,0,0,
11.09.2025 05:00,0,0,0,0,0,
11.09.2025 06:00,0,0,0,0,0,
11.09.2025 07:00,0,0,0,0,0,
11.09.2025 08:00,0,0,0,0,0,
11.09.2025 09:00,0,0,0,0,0,
11.09.2025 10:00,3.66,-3.66,233.874,0,0,
11.09.2025 11:00,3.8500000000000005,-3.8500000000000005,126.819,0,0,
11.09.2025 12:00,3.87,-3.87,95.4342,0,0,
11.09.2025 13:00,3.83,-3.83,131.02429999999998,0,0,
11.09.2025 14:00,3.4299999999999997,-3.4299999999999997,80.7422,0,0,
11.09.2025 15:00,3.28,-3.28,227.4352,0,0,
11.09.2025 16:00,0,0,0,0,0,
11.09.2025 17:00,0,0,0,0,0,
11.09.2025 18:00,0,0,0,0,0,
11.09.2025 19:00,0,0,0,0,0,
11.09.2025 20:00,0,0,0,0,0,
11.09.2025 21:00,0,0,0,0,0,
11.09.2025 22:00,0,0,0,0,0,
11.09.2025 23:00,0,0,0,0,0,
12.09.2025 00:00,0,0,0,0,0,
12.09.2025 01:00,0,0,0,0,0,
12.09.2025 02:00,3.24,-3.24,277.11719999999997,0,0,
12.09.2025 03:00,3.1000000000000005,-3.1000000000000005,311.612,0,0,
12.09.2025 04:00,3.1500000000000004,-3.1500000000000004,315,0,0,
12.09.2025 05:00,0,0,0,0,0,
12.09.2025 06:00,0,0,0,0,0,
12.09.2025 07:00,0,0,0,0,0,
12.09.2025 08:00,0,0,0,0,0,
12.09.2025 09:00,3.52,-3.52,69.9776,0,0,
12.09.2025 10:00,3.52,-3.52,8.8,0,0,
12.09.2025 11:00,0,0,0,0,0,
12.09.2025 12:00,0,0,0,0,0,
12.09.2025 13:00,0,0,0,0,0,
12.09.2025 14:00,0,0,0,0,0,
12.09.2025 15:00,3.09,-3.09,7.5087,0,0,
12.09.2025 16:00,0,0,0,0,0,
12.09.2025 17:00,0,0,0,0,0,
12.09.2025 18:00,0,0,0,0,0,
12.09.2025 19:00,0,0,0,0,0,
12.09.2025 20:00,0,0,0,0,0,
12.09.2025 21:00,0,0,0,0,0,
12.09.2025 22:00,0,0,0,0,0,
12.09.2025 23:00,0,0,0,0,0,
13.09.2025 00:00,0,0,0,0,0,
13.09.2025 01:00,0,0,0,0,0,
13.09.2025 02:00,0,0,0,0,0,
13.09.2025 03:00,0,0,0,0,0,
13.09.2025 04:00,0,0,0,0,0,
13.09.2025 05:00,0,0,0,0,0,
13.09.2025 06:00,0,0,0,0,0,
13.09.2025 07:00,0,0,0,0,0,
13.09.2025 08:00,0,0,0,0,0,
13.09.2025 09:00,0,0,0,0,0,
13.09.2025 10:00,3.59,-3.59,72.44619999999999,0,0,
13.09.2025 11:00,3.46,-3.46,43.769000000000005,0,0,
13.09.2025 12:00,3.4400000000000004,-3.4400000000000004,42.484,0,0,
13.09.2025 13:00,3.24,-3.24,41.2128,0,0,
13.09.2025 14:00,3.25,-3.25,8.125,0,0,
13.09.2025 15:00,3.33,-3.33,104.6952,0,0,
13.09.2025 16:00,0,0,0,0,0,
13.09.2025 17:00,0,0,0,0,0,
13.09.2025 18:00,0,0,0,0,0,
13.09.2025 19:00,0,0,0,0,0,
13.09.2025 20:00,0,0,0,0,0,
13.09.2025 21:00,0,0,0,0,0,
13.09.2025 22:00,0,0,0,0,0,
13.09.2025 23:00,0,0,0,0,0,
14.09.2025 00:00,0,0,0,0,0,
14.09.2025 01:00,0,0,0,0,0,
14.09.2025 02:00,0,0,0,0,0,
14.09.2025 03:00,0,0,0,0,0,
14.09.2025 04:00,0,0,0,0,0,
14.09.2025 05:00,0,0,0,0,0,
14.09.2025 06:00,0,0,0,0,0,
14.09.2025 07:00,0,0,0,0,0,
14.09.2025 08:00,0,0,0,0,0,
14.09.2025 09:00,0,0,0,0,0,
14.09.2025 10:00,0,0,0,0,0,
14.09.2025 11:00,3.7699999999999996,-3.7699999999999996,192.79779999999997,0,0,
14.09.2025 12:00,3.66,-3.66,9.4062,0,0,
14.09.2025 13:00,3.5299999999999994,-3.5299999999999994,8.825,0,0,
14.09.2025 14:00,3.25,-3.25,8.125,0,0,
14.09.2025 15:00,0,0,0,0,0,
14.09.2025 16:00,0,0,0,0,0,
14.09.2025 17:00,0,0,0,0,0,
14.09.2025 18:00,0,0,0,0,0,
14.09.2025 19:00,0,0,0,0,0,
14.09.2025 20:00,0,0,0,0,0,
14.09.2025 21:00,0,0,0,0,0,
14.09.2025 22:00,0,0,0,0,0,
14.09.2025 23:00,0,0,0,0,0,
15.09.2025 00:00,3.58,-3.58,112.30460000000001,0,0,
15.09.2025 01:00,3.69,-3.69,47.4903,0,0,
15.09.2025 02:00,3.52,-3.52,9.0464,0,0,
15.09.2025 03:00,3.35,-3.35,8.375,0,0,
15.09.2025 04:00,3.46,-3.46,31.8666,0,0,
15.09.2025 05:00,3.58,-3.58,7.339,0,0,
15.09.2025 06:00,3.64,-3.64,9.1,0,0,
15.09.2025 07:00,3.62,-3.62,99.26040000000002,0,0,
15.09.2025 08:00,3.69,-3.69,73.6524,0,0,
15.09.2025 09:00,3.76,-3.76,129.4568,0,0,
15.09.2025 10:00,4,-4,22.52,0,0,
15.09.2025 11:00,3.7300000000000004,-3.7300000000000004,9.325000000000001,0,0,
15.09.2025 12:00,3.57,-3.57,8.6751,0,0,
15.09.2025 13:00,3.2,-3.2,7.776,0,0,
15.09.2025 14:00,3.13,-3.13,6.1974,0,0,
15.09.2025 15:00,3.09,-3.09,7.7250000000000005,0,0,
15.09.2025 16:00,3.1500000000000004,-3.1500000000000004,48.762,0,0,
15.09.2025 17:00,3.06,-3.06,96.66539999999999,0,0,
15.09.2025 18:00,0,0,0,0,0,
15.09.2025 19:00,3,-3,97.23,0,0,
15.09.2025 20:00,2.99,-2.99,70.8331,0,0,
15.09.2025 21:00,2.97,-2.97,71.9037,0,0,
15.09.2025 22:00,3.0300000000000002,-3.0300000000000002,8.9385,0,0,
15.09.2025 23:00,3.1000000000000005,-3.1000000000000005,45.663000000000004,0,0,
16.09.2025 00:00,3.08,-3.08,6.5604,0,0,
16.09.2025 01:00,2.95,-2.95,4.956,0,0,
16.09.2025 02:00,0,0,0,0,0,
16.09.2025 03:00,2.87,-2.87,7.175,0,0,
16.09.2025 04:00,2.86,-2.86,11.211199999999998,0,0,
16.09.2025 05:00,2.91,-2.91,57.6471,0,0,
16.09.2025 06:00,0,0,0,0,0,
16.09.2025 07:00,0,0,0,0,0,
16.09.2025 08:00,3.24,-3.24,249.80400000000003,0,0,
16.09.2025 09:00,3.4,-3.4,80.784,0,0,
16.09.2025 10:00,3.47,-3.47,41.5359,0,0,
16.09.2025 11:00,3.3599999999999994,-3.3599999999999994,11.659199999999998,0,0,
16.09.2025 12:00,3.1500000000000004,-3.1500000000000004,23.152500000000003,0,0,
16.09.2025 13:00,2.91,-2.91,43.9701,0,0,
16.09.2025 14:00,2.87,-2.87,23.648799999999998,0,0,
16.09.2025 15:00,2.84,-2.84,42.4864,0,0,
16.09.2025 16:00,2.94,-2.94,69.64859999999999,0,0,
16.09.2025 17:00,2.93,-2.93,104.8061,0,0,
16.09.2025 18:00,3,-3,157.44,0,0,
16.09.2025 19:00,3,-3,135.96,0,0,
16.09.2025 20:00,2.87,-2.87,69.2531,0,0,
16.09.2025 21:00,2.89,-2.89,96.46820000000001,0,0,
16.09.2025 22:00,2.87,-2.87,92.8158,0,0,
16.09.2025 23:00,2.94,-2.94,59.3292,0,0,
