Time,HeatMWh,Electricity,ProductionCost,FuelConsumption,Co2Emissions
08.09.2025 00:00,0,0,0,0,0,
08.09.2025 01:00,0,0,0,0,0,
08.09.2025 02:00,0,0,0,0,0,
08.09.2025 03:00,0,0,0,0,0,
08.09.2025 04:00,0,0,0,0,0,
08.09.2025 05:00,0,0,0,0,0,
08.09.2025 06:00,0,0,0,0,0,
08.09.2025 07:00,0,0,0,0,0,
08.09.2025 08:00,0,0,0,0,0,
08.09.2025 09:00,0,0,0,0,0,
08.09.2025 10:00,0,0,0,0,0,
08.09.2025 11:00,0,0,0,0,0,
08.09.2025 12:00,0,0,0,0,0,
08.09.2025 13:00,0,0,0,0,0,
08.09.2025 14:00,0,0,0,0,0,
08.09.2025 15:00,0,0,0,0,0,
08.09.2025 16:00,0,0,0,0,0,
08.09.2025 17:00,0,0,0,0,0,
08.09.2025 18:00,0,0,0,0,0,
08.09.2025 19:00,0,0,0,0,0,
08.09.2025 20:00,0,0,0,0,0,
08.09.2025 21:00,0,0,0,0,0,
08.09.2025 22:00,0,0,0,0,0,
08.09.2025 23:00,0,0,0,0,0,
09.09.2025 00:00,0,0,0,0,0,
09.09.2025 01:00,0,0,0,0,0,
09.09.2025 02:00,0,0,0,0,0,
09.09.2025 03:00,0,0,0,0,0,
09.09.2025 04:00,0,0,0,0,0,
09.09.2025 05:00,0,0,0,0,0,
09.09.2025 06:00,0,0,0,0,0,
09.09.2025 07:00,0,0,0,0,0,
09.09.2025 08:00,0,0,0,0,0,
09.09.2025 09:00,0,0,0,0,0,
09.09.2025 10:00,0,0,0,0,0,
09.09.2025 11:00,0,0,0,0,0,
09.09.2025 12:00,0,0,0,0,0,
09.09.2025 13:00,0,0,0,0,0,
09.09.2025 14:00,0,0,0,0,0,
09.09.2025 15:00,0,0,0,0,0,
09.09.2025 16:00,0,0,0,0,0,
09.09.2025 17:00,0,0,0,0,0,
09.09.2025 18:00,0,0,0,0,0,
09.09.2025 19:00,0,0,0,0,0,
09.09.2025 20:00,0,0,0,0,0,
09.09.2025 21:00,0,0,0,0,0,
09.09.2025 22:00,0,0,0,0,0,
09.09.2025 23:00,0,0,0,0,0,
10.09.2025 00:00,0,0,0,0,0,
10.09.2025 01:00,0,0,0,0,0,
10.09.2025 02:00,0,0,0,0,0,
10.09.2025 03:00,0,0,0,0,0,
10.09.2025 04:00,0,0,0,0,0,
10.09.2025 05:00,0,0,0,0,0,
10.09.2025 06:00,0,0,0,0,0,
10.09.2025 07:00,0,0,0,0,0,
10.09.2025 08:00,0,0,0,0,0,
10.09.2025 09:00,0,0,0,0,0,
10.09.2025 10:00,0,0,0,0,0,
10.09.2025 11:00,0,0,0,0,0,
10.09.2025 12:00,0,0,0,0,0,
10.09.2025 13:00,0,0,0,0,0,
10.09.2025 14:00,0,0,0,0,0,
10.09.2025 15:00,0,0,0,0,0,
10.09.2025 16:00,0,0,0,0,0,
10.09.2025 17:00,0,0,0,0,0,
10.09.2025 18:00,0,0,0,0,0,
10.09.2025 19:00,0,0,0,0,0,
10.09.2025 20:00,0,0,0,0,0,
10.09.2025 21:00,0,0,0,0,0,
10.09.2025 22:00,0,0,0,0,0,
10.09.2025 23:00,0,0,0,0,0,
11.09.2025 00:00,0,0,0,0,0,
11.09.2025 01:00,0,0,0,0,0,
11.09.2025 02:00,0,0,0,0,0,
11.09.2025 03:00,0,0,0,0,0,
11.09.2025 04:00,0,0,0,0,0,
11.09.2025 05:00,0,0,0,0,0,
11.09.2025 06:00,0,0,0,0,0,
11.09.2025 07:00,0,0,0,0,0,
11.09.2025 08:00,0,0,0,0,0,
11.09.2025 09:00,0,0,0,0,0,
11.09.2025 10:00,0,0,0,0,0,
11.09.2025 11:00,0,0,0,0,0,
11.09.2025 12:00,0,0,0,0,0,
11.09.2025 13:00,0,0,0,0,0,
11.09.2025 14:00,0,0,0,0,0,
11.09.2025 15:00,0,0,0,0,0,
11.09.2025 16:00,0,0,0,0,0,
11.09.2025 17:00,0,0,0,0,0,
11.09.2025 18:00,0,0,0,0,0,
11.09.2025 19:00,0,0,0,0,0,
11.09.2025 20:00,0,0,0,0,0,
11.09.2025 21:00,0,0,0,0,0,
11.09.2025 22:00,0,0,0,0,0,
11.09.2025 23:00,0,0,0,0,0,
12.09.2025 00:00,0,0,0,0,0,
12.09.2025 01:00,0,0,0,0,0,
12.09.2025 02:00,0,0,0,0,0,
12.09.2025 03:00,0,0,0,0,0,
12.09.2025 04:00,0,0,0,0,0,
12.09.2025 05:00,0,0,0,0,0,
12.09.2025 06:00,0,0,0,0,0,
12.09.2025 07:00,0,0,0,0,0,
12.09.2025 08:00,0,0,0,0,0,
12.09.2025 09:00,0,0,0,0,0,
12.09.2025 10:00,0,0,0,0,0,
12.09.2025 11:00,0,0,0,0,0,
12.09.2025 12:00,0,0,0,0,0,
12.09.2025 13:00,0,0,0,0,0,
12.09.2025 14:00,0,0,0,0,0,
12.09.2025 15:00,0,0,0,0,0,
12.09.2025 16:00,0,0,0,0,0,
12.09.2025 17:00,0,0,0,0,0,
12.09.2025 18:00,0,0,0,0,0,
12.09.2025 19:00,0,0,0,0,0,
12.09.2025 20:00,0,0,0,0,0,
12.09.2025 21:00,0,0,0,0,0,
12.09.2025 22:00,0,0,0,0,0,
12.09.2025 23:00,0,0,0,0,0,
13.09.2025 00:00,0,0,0,0,0,
13.09.2025 01:00,0,0,0,0,0,
13.09.2025 02:00,0,0,0,0,0,
13.09.2025 03:00,0,0,0,0,0,
13.09.2025 04:00,0,0,0,0,0,
13.09.2025 05:00,0,0,0,0,0,
13.09.2025 06:00,0,0,0,0,0,
13.09.2025 07:00,0,0,0,0,0,
13.09.2025 08:00,0,0,0,0,0,
13.09.2025 09:00,0,0,0,0,0,
13.09.2025 10:00,0,0,0,0,0,
13.09.2025 11:00,0,0,0,0,0,
13.09.2025 12:00,0,0,0,0,0,
13.09.2025 13:00,0,0,0,0,0,
13.09.2025 14:00,0,0,0,0,0,
13.09.2025 15:00,0,0,0,0,0,
13.09.2025 16:00,0,0,0,0,0,
13.09.2025 17:00,0,0,0,0,0,
13.09.2025 18:00,0,0,0,0,0,
13.09.2025 19:00,0,0,0,0,0,
13.09.2025 20:00,0,0,0,0,0,
13.09.2025 21:00,0,0,0,0,0,
13.09.2025 22:00,0,0,0,0,0,
13.09.2025 23:00,0,0,0,0,0,
14.09.2025 00:00,0,0,0,0,0,
14.09.2025 01:00,0,0,0,0,0,
14.09.2025 02:00,0,0,0,0,0,
14.09.2025 03:00,0,0,0,0,0,
14.09.2025 04:00,0,0,0,0,0,
14.09.2025 05:00,0,0,0,0,0,
14.09.2025 06:00,0,0,0,0,0,
14.09.2025 07:00,0,0,0,0,0,
14.09.2025 08:00,0,0,0,0,0,
14.09.2025 09:00,0,0,0,0,0,
14.09.2025 10:00,0,0,0,0,0,
14.09.2025 11:00,0,0,0,0,0,
14.09.2025 12:00,0,0,0,0,0,
14.09.2025 13:00,0,0,0,0,0,
14.09.2025 14:00,0,0,0,0,0,
14.09.2025 15:00,0,0,0,0,0,
14.09.2025 16:00,0,0,0,0,0,
14.09.2025 17:00,0,0,0,0,0,
14.09.2025 18:00,0,0,0,0,0,
14.09.2025 19:00,0,0,0,0,0,
14.09.2025 20:00,0,0,0,0,0,
14.09.2025 21:00,0,0,0,0,0,
14.09.2025 22:00,0,0,0,0,0,
14.09.2025 23:00,0,0,0,0,0,
15.09.2025 00:00,0,0,0,0,0,
15.09.2025 01:00,0,0,0,0,0,
15.09.2025 02:00,0,0,0,0,0,
15.09.2025 03:00,0,0,0,0,0,
15.09.2025 04:00,0,0,0,0,0,
15.09.2025 05:00,0,0,0,0,0,
15.09.2025 06:00,0,0,0,0,0,
15.09.2025 07:00,0,0,0,0,0,
15.09.2025 08:00,0,0,0,0,0,
15.09.2025 09:00,0,0,0,0,0,
15.09.2025 10:00,0,0,0,0,0,
15.09.2025 11:00,0,0,0,0,0,
15.09.2025 12:00,0,0,0,0,0,
15.09.2025 13:00,0,0,0,0,0,
15.09.2025 14:00,0,0,0,0,0,
15.09.2025 15:00,0,0,0,0,0,
15.09.2025 16:00,0,0,0,0,0,
15.09.2025 17:00,0,0,0,0,0,
15.09.2025 18:00,0,0,0,0,0,
15.09.2025 19:00,0,0,0,0,0,
15.09.2025 20:00,0,0,0,0,0,
15.09.2025 21:00,0,0,0,0,0,
15.09.2025 22:00,0,0,0,0,0,
15.09.2025 23:00,0,0,0,0,0,
16.09.2025 00:00,0,0,0,0,0,
16.09.2025 01:00,0,0,0,0,0,
16.09.2025 02:00,0,0,0,0,0,
16.09.2025 03:00,0,0,0,0,0,
16.09.2025 04:00,0,0,0,0,0,
16.09.2025 05:00,0,0,0,0,0,
16.09.2025 06:00,0,0,0,0,0,
16.09.2025 07:00,0,0,0,0,0,
16.09.2025 08:00,0,0,0,0,0,
16.09.2025 09:00,0,0,0,0,0,
16.09.2025 10:00,0,0,0,0,0,
16.09.2025 11:00,0,0,0,0,0,
16.09.2025 12:00,0,0,0,0,0,
16.09.2025 13:00,0,0,0,0,0,
16.09.2025 14:00,0,0,0,0,0,
16.09.2025 15:00,0,0,0,0,0,
16.09.2025 16:00,0,0,0,0,0,
16.09.2025 17:00,0,0,0,0,0,
16.09.2025 18:00,0,0,0,0,0,
16.09.2025 19:00,0,0,0,0,0,
16.09.2025 20:00,0,0,0,0,0,
16.09.2025 21:00,0,0,0,0,0,
16.09.2025 22:00,0,0,0,0,0,
16.09.2025 23:00,0,0,0,0,0,
17.09.2025 00:00,0,0,0,0,0,
17.09.2025 01:00,0,0,0,0,0,
17.09.2025 02:00,0,0,0,0,0,
17.09.2025 03:00,0,0,0,0,0,
17.09.2025 04:00,0,0,0,0,0,
17.09.2025 05:00,0,0,0,0,0,
17.09.2025 06:00,0,0,0,0,0,
17.09.2025 07:00,0,0,0,0,0,
17.09.2025 08:00,0,0,0,0,0,
17.09.2025 09:00,0,0,0,0,0,
17.09.2025 10:00,0,0,0,0,0,
17.09.2025 11:00,0,0,0,0,0,
17.09.2025 12:00,0,0,0,0,0,
17.09.2025 13:00,0,0,0,0,0,
17.09.2025 14:00,0,0,0,0,0,
17.09.2025 15:00,0,0,0,0,0,
17.09.2025 16:00,0,0,0,0,0,
17.09.2025 17:00,0,0,0,0,0,
17.09.2025 18:00,0,0,0,0,0,
17.09.2025 19:00,0,0,0,0,0,
17.09.2025 20:00,0,0,0,0,0,
17.09.2025 21:00,0,0,0,0,0,
17.09.2025 22:00,0,0,0,0,0,
17.09.2025 23:00,0,0,0,0,0,
18.09.2025 00:00,0,0,0,0,0,
18.09.2025 01:00,0,0,0,0,0,
18.09.2025 02:00,0,0,0,0,0,
18.09.2025 03:00,0,0,0,0,0,
18.09.2025 04:00,0,0,0,0,0,
18.09.2025 05:00,0,0,0,0,0,
18.09.2025 06:00,0,0,0,0,0,
