Time,HeatMWh,Electricity,ProductionCost,FuelConsumption,Co2Emissions
08.09.2025 00:00,0,0,0,0,0,
08.09.2025 01:00,0,0,0,0,0,
08.09.2025 02:00,0,0,0,0,0,
08.09.2025 03:00,0,0,0,0,0,
08.09.2025 04:00,0,0,0,0,0,
08.09.2025 05:00,0,0,0,0,0,
08.09.2025 06:00,0,0,0,0,0,
08.09.2025 07:00,0,0,0,0,0,
08.09.2025 08:00,0,0,0,0,0,
08.09.2025 09:00,0,0,0,0,0,
08.09.2025 10:00,0,0,0,0,0,
08.09.2025 11:00,0,0,0,0,0,
08.09.2025 12:00,0,0,0,0,0,
08.09.2025 13:00,0,0,0,0,0,
08.09.2025 14:00,0,0,0,0,0,
08.09.2025 15:00,0,0,0,0,0,
08.09.2025 16:00,0,0,0,0,0,
08.09.2025 17:00,0,0,0,0,0,
08.09.2025 18:00,0,0,0,0,0,
08.09.2025 19:00,0,0,0,0,0,
08.09.2025 20:00,0,0,0,0,0,
08.09.2025 21:00,0,0,0,0,0,
08.09.2025 22:00,0,0,0,0,0,
08.09.2025 23:00,0,0,0,0,0,
09.09.2025 00:00,0,0,0,0,0,
09.09.2025 01:00,0,0,0,0,0,
09.09.2025 02:00,0,0,0,0,0,
09.09.2025 03:00,0,0,0,0,0,
09.09.2025 04:00,0,0,0,0,0,
09.09.2025 05:00,0,0,0,0,0,
09.09.2025 06:00,0,0,0,0,0,
09.09.2025 07:00,0,0,0,0,0,
09.09.2025 08:00,0,0,0,0,0,
09.09.2025 09:00,0,0,0,0,0,
09.09.2025 10:00,0,0,0,0,0,
09.09.2025 11:00,0,0,0,0,0,
09.09.2025 12:00,0,0,0,0,0,
09.09.2025 13:00,0,0,0,0,0,
09.09.2025 14:00,0,0,0,0,0,
09.09.2025 15:00,0,0,0,0,0,
09.09.2025 16:00,0,0,0,0,0,
09.09.2025 17:00,0,0,0,0,0,
09.09.2025 18:00,0,0,0,0,0,
09.09.2025 19:00,0,0,0,0,0,
09.09.2025 20:00,0,0,0,0,0,
09.09.2025 21:00,0,0,0,0,0,
09.09.2025 22:00,0,0,0,0,0,
09.09.2025 23:00,0,0,0,0,0,
10.09.2025 00:00,0,0,0,0,0,
10.09.2025 01:00,0,0,0,0,0,
10.09.2025 02:00,0,0,0,0,0,
10.09.2025 03:00,0,0,0,0,0,
10.09.2025 04:00,0,0,0,0,0,
10.09.2025 05:00,0,0,0,0,0,
10.09.2025 06:00,0,0,0,0,0,
10.09.2025 07:00,0,0,0,0,0,
10.09.2025 08:00,0,0,0,0,0,
10.09.2025 09:00,0,0,0,0,0,
10.09.2025 10:00,0,0,0,0,0,
10.09.2025 11:00,0,0,0,0,0,
10.09.2025 12:00,0,0,0,0,0,
10.09.2025 13:00,0,0,0,0,0,
10.09.2025 14:00,0,0,0,0,0,
10.09.2025 15:00,0,0,0,0,0,
10.09.2025 16:00,0,0,0,0,0,
10.09.2025 17:00,0,0,0,0,0,
10.09.2025 18:00,0,0,0,0,0,
10.09.2025 19:00,0,0,0,0,0,
10.09.2025 20:00,0,0,0,0,0,
10.09.2025 21:00,0,0,0,0,0,
10.09.2025 22:00,0,0,0,0,0,
10.09.2025 23:00,0,0,0,0,0,
11.09.2025 00:00,0,0,0,0,0,
11.09.2025 01:00,0,0,0,0,0,
11.09.2025 02:00,0,0,0,0,0,
11.09.2025 03:00,0,0,0,0,0,
11.09.2025 04:00,0,0,0,0,0,
11.09.2025 05:00,0,0,0,0,0,
11.09.2025 06:00,0,0,0,0,0,
11.09.2025 07:00,0,0,0,0,0,
11.09.2025 08:00,0,0,0,0,0,
11.09.2025 09:00,0,0,0,0,0,
11.09.2025 10:00,0,0,0,0,0,
11.09.2025 11:00,0,0,0,0,0,
11.09.2025 12:00,0,0,0,0,0,
11.09.2025 13:00,0,0,0,0,0,
11.09.2025 14:00,0,0,0,0,0,
11.09.2025 15:00,0,0,0,0,0,
11.09.2025 16:00,0,0,0,0,0,
11.09.2025 17:00,0,0,0,0,0,
11.09.2025 18:00,0,0,0,0,0,
11.09.2025 19:00,0,0,0,0,0,
11.09.2025 20:00,0,0,0,0,0,
11.09.2025 21:00,0,0,0,0,0,
11.09.2025 22:00,0,0,0,0,0,
11.09.2025 23:00,3.2499999999999996,2.391509433962264,273.3495283018868,1.1160377358490565,139.19811320754715,
12.09.2025 00:00,3.4,2.50188679245283,288.76905660377355,1.1675471698113207,145.62264150943395,
12.09.2025 01:00,3.3300000000000005,2.450377358490566,334.916320754717,1.1435094339622642,142.6245283018868,
12.09.2025 02:00,0,0,0,0,0,
12.09.2025 03:00,0,0,0,0,0,
12.09.2025 04:00,0,0,0,0,0,
12.09.2025 05:00,3.21,2.362075471698113,60.117849056603774,1.1023018867924528,137.48490566037736,
12.09.2025 06:00,0,0,0,0,0,
12.09.2025 07:00,0,0,0,0,0,
12.09.2025 08:00,0,0,0,0,0,
12.09.2025 09:00,0,0,0,0,0,
12.09.2025 10:00,0,0,0,0,0,
12.09.2025 11:00,0,0,0,0,0,
12.09.2025 12:00,0,0,0,0,0,
12.09.2025 13:00,0,0,0,0,0,
12.09.2025 14:00,0,0,0,0,0,
12.09.2025 15:00,0,0,0,0,0,
12.09.2025 16:00,0,0,0,0,0,
12.09.2025 17:00,0,0,0,0,0,
12.09.2025 18:00,0,0,0,0,0,
12.09.2025 19:00,0,0,0,0,0,
12.09.2025 20:00,0,0,0,0,0,
12.09.2025 21:00,0,0,0,0,0,
12.09.2025 22:00,0,0,0,0,0,
12.09.2025 23:00,0,0,0,0,0,
13.09.2025 00:00,0,0,0,0,0,
13.09.2025 01:00,3.2899999999999996,2.420943396226415,164.57449056603772,1.1297735849056603,140.91132075471697,
13.09.2025 02:00,3.19,2.3473584905660374,242.7409433962264,1.095433962264151,136.62830188679246,
13.09.2025 03:00,3.0999999999999996,2.281132075471698,234.86301886792452,1.0645283018867924,132.77358490566039,
13.09.2025 04:00,3.19,2.3473584905660374,254.29115094339622,1.095433962264151,136.62830188679246,
13.09.2025 05:00,3.37,2.479811320754717,229.80220754716984,1.1572452830188682,144.33773584905663,
13.09.2025 06:00,0,0,0,0,0,
13.09.2025 07:00,0,0,0,0,0,
13.09.2025 08:00,0,0,0,0,0,
13.09.2025 09:00,4.04,2.972830188679245,426.0675471698114,1.3873207547169812,173.03396226415094,
13.09.2025 10:00,0,0,0,0,0,
13.09.2025 11:00,0,0,0,0,0,
13.09.2025 12:00,0,0,0,0,0,
13.09.2025 13:00,0,0,0,0,0,
13.09.2025 14:00,0,0,0,0,0,
13.09.2025 15:00,0,0,0,0,0,
13.09.2025 16:00,0,0,0,0,0,
13.09.2025 17:00,0,0,0,0,0,
13.09.2025 18:00,0,0,0,0,0,
13.09.2025 19:00,0,0,0,0,0,
13.09.2025 20:00,0,0,0,0,0,
13.09.2025 21:00,0,0,0,0,0,
13.09.2025 22:00,0,0,0,0,0,
13.09.2025 23:00,0,0,0,0,0,
14.09.2025 00:00,0,0,0,0,0,
14.09.2025 01:00,0,0,0,0,0,
14.09.2025 02:00,0,0,0,0,0,
14.09.2025 03:00,0,0,0,0,0,
14.09.2025 04:00,0,0,0,0,0,
14.09.2025 05:00,0,0,0,0,0,
14.09.2025 06:00,0,0,0,0,0,
14.09.2025 07:00,0,0,0,0,0,
14.09.2025 08:00,0,0,0,0,0,
14.09.2025 09:00,0,0,0,0,0,
14.09.2025 10:00,3.72,2.737358490566038,325.33856603773586,1.277433962264151,159.32830188679247,
14.09.2025 11:00,0,0,0,0,0,
14.09.2025 12:00,0,0,0,0,0,
14.09.2025 13:00,0,0,0,0,0,
14.09.2025 14:00,0,0,0,0,0,
14.09.2025 15:00,3.15,2.3179245283018868,245.2364150943396,1.0816981132075472,134.91509433962264,
14.09.2025 16:00,0,0,0,0,0,
14.09.2025 17:00,0,0,0,0,0,
14.09.2025 18:00,0,0,0,0,0,
14.09.2025 19:00,0,0,0,0,0,
14.09.2025 20:00,0,0,0,0,0,
14.09.2025 21:00,0,0,0,0,0,
14.09.2025 22:00,3.09,2.27377358490566,326.39728301886794,1.0610943396226415,132.34528301886792,
14.09.2025 23:00,3.24,2.384150943396227,314.8485283018868,1.112603773584906,138.76981132075474,
15.09.2025 00:00,0,0,0,0,0,
15.09.2025 01:00,0,0,0,0,0,
15.09.2025 02:00,0,0,0,0,0,
15.09.2025 03:00,0,0,0,0,0,
15.09.2025 04:00,0,0,0,0,0,
15.09.2025 05:00,0,0,0,0,0,
15.09.2025 06:00,0,0,0,0,0,
15.09.2025 07:00,0,0,0,0,0,
15.09.2025 08:00,0,0,0,0,0,
15.09.2025 09:00,0,0,0,0,0,
15.09.2025 10:00,0,0,0,0,0,
15.09.2025 11:00,0,0,0,0,0,
15.09.2025 12:00,0,0,0,0,0,
15.09.2025 13:00,0,0,0,0,0,
15.09.2025 14:00,0,0,0,0,0,
15.09.2025 15:00,0,0,0,0,0,
15.09.2025 16:00,0,0,0,0,0,
15.09.2025 17:00,0,0,0,0,0,
15.09.2025 18:00,3.0399999999999996,2.2369811320754716,132.36045283018868,1.0439245283018868,130.20377358490566,
15.09.2025 19:00,0,0,0,0,0,
15.09.2025 20:00,0,0,0,0,0,
15.09.2025 21:00,0,0,0,0,0,
15.09.2025 22:00,0,0,0,0,0,
15.09.2025 23:00,0,0,0,0,0,
16.09.2025 00:00,0,0,0,0,0,
16.09.2025 01:00,0,0,0,0,0,
16.09.2025 02:00,0,0,0,0,0,
16.09.2025 03:00,0,0,0,0,0,
16.09.2025 04:00,0,0,0,0,0,
16.09.2025 05:00,0,0,0,0,0,
16.09.2025 06:00,2.94,2.1633962264150943,239.38256603773584,1.0095849056603774,125.92075471698114,
16.09.2025 07:00,3.01,2.2149056603773585,157.16743396226414,1.033622641509434,128.91886792452829,
16.09.2025 08:00,0,0,0,0,0,
16.09.2025 09:00,0,0,0,0,0,
16.09.2025 10:00,0,0,0,0,0,
16.09.2025 11:00,0,0,0,0,0,
16.09.2025 12:00,0,0,0,0,0,
16.09.2025 13:00,0,0,0,0,0,
16.09.2025 14:00,0,0,0,0,0,
16.09.2025 15:00,0,0,0,0,0,
16.09.2025 16:00,0,0,0,0,0,
16.09.2025 17:00,0,0,0,0,0,
16.09.2025 18:00,0,0,0,0,0,
16.09.2025 19:00,0,0,0,0,0,
16.09.2025 20:00,0,0,0,0,0,
16.09.2025 21:00,0,0,0,0,0,
16.09.2025 22:00,0,0,0,0,0,
16.09.2025 23:00,0,0,0,0,0,
17.09.2025 00:00,0,0,0,0,0,
17.09.2025 01:00,0,0,0,0,0,
17.09.2025 02:00,0,0,0,0,0,
17.09.2025 03:00,0,0,0,0,0,
17.09.2025 04:00,0,0,0,0,0,
17.09.2025 05:00,0,0,0,0,0,
17.09.2025 06:00,0,0,0,0,0,
17.09.2025 07:00,0,0,0,0,0,
17.09.2025 08:00,0,0,0,0,0,
